type,name,code,aliases,parent_code,room_number,floor_number,latitude,longitude,outdoor_destination_latitude,outdoor_destination_longitude,concept3d_id,concept3d_category_ids,multiset_destination_id,source,source_id,source_url,searchable,active,metadata
"building","Academic Services","AS","","","","","","","","","","","","csulb_building_names_codes","AS","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""student_services""]}"
"building","Anna W. Ngai Alumni Center","ANAC","","","","","","","","","","","","csulb_building_names_codes","ANAC","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""student_services""]}"
"building","Barrett Athletic Administration Center","BAC","Barrett Athletic Administration Building","","","","","","","","","","","csulb_building_names_codes","BAC","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""athletic_facility""]}"
"building","BBS Collections Area","CA","","","","","","","","","","","","csulb_building_names_codes","CA","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Beach Building Services","BBS","","","","","","","","","","","","csulb_building_names_codes","BBS","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Bob and Barbara Ellis Education","EED","Bob and Barbara Ellis Education Building","","","","","","","","","","","csulb_building_names_codes","EED","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Bookstore","BKS","","","","","","","","","","","","csulb_building_names_codes","BKS","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""student_services""]}"
"building","Cafeteria","CAFÉ","","","","","","","","","","","","csulb_building_names_codes","CAFÉ","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""dining""]}"
"building","Carpenter Performing Arts Center","CPAC","","","","","","","","","","","","csulb_building_names_codes","CPAC","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""campus_landmark""]}"
"building","Central Plant","CP","","","","","","","","","","","","csulb_building_names_codes","CP","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","College of Business","COB","","","","","","","","","","","","csulb_building_names_codes","COB","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","College of Liberal Arts Administration","CLA","","","","","","","","","","","","csulb_building_names_codes","CLA","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","College of Professional and Continuing Education","CPCE","","","","","","","","","","","","csulb_building_names_codes","CPCE","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""student_services""]}"
"building","Corporation Yard","CORP","","","","","","","","","","","","csulb_building_names_codes","CORP","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","CSULB Foundation","FDN","Foundation","","","","","","","","","","","csulb_building_names_codes","FDN","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""student_services""],""map_code"":""FND""}"
"building","Design","DESN","","","","","","","","","","","","csulb_building_names_codes","DESN","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","E. James Brotman Hall","BH","Brotman Hall","","","","","","","","","","","csulb_building_names_codes","BH","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""student_services""]}"
"amenity","Earl Burns Miller Japanese Garden","JG","Japanese Garden","","","","","","","","","","","csulb_building_names_codes","JG","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""campus_landmark""]}"
"building","Education 2","ED2","","","","","","","","","","","","csulb_building_names_codes","ED2","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Engineering 2","EN2","","","","","","","","","","","","csulb_building_names_codes","EN2","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Engineering 3","EN3","","","","","","","","","","","","csulb_building_names_codes","EN3","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Engineering 4","EN4","","","","","","","","","","","","csulb_building_names_codes","EN4","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Engineering and Computer Science","ECS","","","","","","","","","","","","csulb_building_names_codes","ECS","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Engineering Technology","ET","","","","","","","","","","","","csulb_building_names_codes","ET","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Faculty Office 2","FO2","","","","","","","","","","","","csulb_building_names_codes","FO2","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Faculty Office 3","FO3","","","","","","","","","","","","csulb_building_names_codes","FO3","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Faculty Office 4","FO4","","","","","","","","","","","","csulb_building_names_codes","FO4","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Faculty Office 5","FO5","","","","","","","","","","","","csulb_building_names_codes","FO5","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Family and Consumer Sciences","FCS","","","","","","","","","","","","csulb_building_names_codes","FCS","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Fine Arts 1","FA1","","","","","","","","","","","","csulb_building_names_codes","FA1","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Fine Arts 2","FA2","","","","","","","","","","","","csulb_building_names_codes","FA2","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Fine Arts 3","FA3","","","","","","","","","","","","csulb_building_names_codes","FA3","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Fine Arts 4","FA4","","","","","","","","","","","","csulb_building_names_codes","FA4","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Greenhouse 3","","","","","","","","","","","","","csulb_building_names_codes","","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Hall of Science","HSCI","","","","","","","","","","","","csulb_building_names_codes","HSCI","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Health & Human Services 1","HHS1","","","","","","","","","","","","csulb_building_names_codes","HHS1","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Health & Human Services 2","HHS2","","","","","","","","","","","","csulb_building_names_codes","HHS2","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Hillside Gateway","HG","","","","","","","","","","","","csulb_building_names_codes","HG","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""housing""]}"
"building","Human Services & Design","HSD","","","","","","","","","","","","csulb_building_names_codes","HSD","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","International House","IH","","","","","","","","","","","","csulb_building_names_codes","IH","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""housing""]}"
"building","Isabel Patterson Child Devlopment Center","CDC","Child Development Center","","","","","","","","","","","csulb_building_names_codes","CDC","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""student_services""],""source_spelling_preserved"":true}"
"building","Kinesiology","KIN","","","","","","","","","","","","csulb_building_names_codes","KIN","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Language Arts","LAB","","","","","","","","","","","","csulb_building_names_codes","LAB","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Lecture Hall 150-151","LH","","","","","","","","","","","","csulb_building_names_codes","LH","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Liberal Arts 1","LA1","","","","","","","","","","","","csulb_building_names_codes","LA1","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
"building","Liberal Arts 2","LA2","","","","","","","","","","","","csulb_building_names_codes","LA2","https://www.csulb.edu/maps/building-names-codes","true","true","{""categories"":[""building""]}"
